,infected,recovered,fatalities,infected_known,susceptible
429,1681,266,19,1243,34
430,1677,269,20,1251,34
431,1671,275,20,1247,34
432,1668,279,20,1244,33
433,1663,284,20,1241,33
434,1658,288,21,1236,33
435,1655,290,22,1234,33
436,1642,300,25,1221,33
437,1637,305,25,1217,33
438,1636,306,25,1216,33
439,1630,311,26,1210,33
440,1623,318,26,1213,33
441,1615,326,26,1205,33
442,1611,330,26,1204,33
443,1609,332,26,1203,33
444,1601,340,26,1198,33
445,1597,344,26,1195,33
446,1593,348,26,1191,33
447,1589,352,26,1190,33
448,1582,358,27,1183,33
449,1576,364,27,1179,33
450,1570,370,27,1178,33
451,1564,376,27,1176,33
452,1558,382,27,1171,33
453,1553,387,27,1167,33
454,1546,395,27,1161,32
455,1541,400,27,1157,32
456,1532,406,30,1149,32
457,1525,413,30,1143,32
458,1519,419,30,1138,32
459,1511,425,32,1130,32
460,1504,432,32,1130,32
461,1495,440,33,1123,32
462,1491,444,33,1120,32
463,1483,451,34,1115,32
464,1475,458,35,1110,32
465,1466,466,36,1102,32
466,1458,473,37,1096,32
467,1449,481,38,1090,32
468,1440,490,38,1084,32
469,1431,499,39,1076,31
470,1419,511,39,1080,31
471,1414,515,40,1077,31
472,1403,526,40,1069,31
473,1397,532,40,1063,31
474,1383,547,40,1052,30
475,1380,550,40,1049,30
476,1368,561,41,1040,30
477,1362,566,42,1035,30
478,1353,575,42,1027,30
479,1346,582,42,1023,30
480,1334,590,46,1016,30
481,1328,596,46,1011,30
482,1314,608,48,1002,30
483,1300,622,48,991,30
484,1292,628,50,984,30
485,1283,637,50,975,30
486,1270,650,50,968,30
487,1262,658,50,961,30
488,1253,667,50,954,30
489,1245,676,50,946,29
490,1234,687,50,943,29
491,1223,697,51,934,29
492,1213,706,52,924,29
493,1203,715,53,914,29
494,1189,728,54,904,29
495,1177,738,57,893,28
496,1170,745,57,889,28
497,1160,755,57,881,28
498,1154,761,57,877,28
499,1139,775,58,867,28
500,1129,784,59,863,28
501,1122,790,60,857,28
502,1114,798,61,852,27
503,1104,808,61,844,27
504,1095,817,61,838,27
505,1085,828,61,832,26
506,1069,844,61,818,26
507,1054,858,62,809,26
508,1044,866,64,801,26
509,1037,872,65,794,26
510,1030,878,66,791,26
511,1024,884,66,786,26
512,1014,892,68,778,26
513,1003,902,69,769,26
514,993,911,70,760,26
515,985,919,70,754,26
516,974,930,70,745,26
517,969,935,70,740,26
518,956,947,71,728,26
519,950,953,71,723,26
520,941,961,72,718,26
521,925,976,73,706,26
522,914,986,74,700,26
523,903,997,74,691,26
524,889,1009,76,679,26
525,877,1020,77,670,26
526,865,1032,77,661,26
527,856,1040,78,655,26
528,841,1054,79,642,26
529,830,1065,79,634,26
530,822,1073,79,631,26
531,813,1082,79,622,26
532,801,1094,79,614,26
533,790,1104,80,605,26
534,780,1114,80,596,26
535,774,1118,82,593,26
536,764,1128,82,584,26
537,753,1139,83,576,25
538,749,1143,83,573,25
539,734,1158,83,560,25
540,718,1174,83,545,25
541,707,1185,83,538,25
542,701,1191,83,533,25
543,697,1195,83,530,25
544,686,1204,85,522,25
545,676,1214,85,513,25
546,667,1223,85,506,25
547,656,1234,85,497,25
548,647,1241,87,490,25
549,638,1249,88,482,25
550,628,1258,89,475,25
551,618,1267,90,468,25
552,609,1274,92,462,25
553,602,1279,94,455,25
554,596,1285,94,449,25
555,589,1291,95,443,25
556,582,1295,98,437,25
557,574,1302,99,431,25
558,561,1314,100,419,25
559,553,1322,100,413,25
560,541,1334,100,404,25
561,534,1341,100,398,25
562,526,1348,101,391,25
563,513,1360,102,382,25
564,502,1371,102,372,25
565,492,1380,103,365,25
566,485,1387,103,359,25
567,474,1397,104,352,25
568,462,1408,105,343,25
569,451,1417,107,335,25
570,439,1428,108,328,25
571,437,1430,108,326,25
572,426,1441,108,317,25
573,412,1454,109,308,25
574,401,1463,111,298,25
575,400,1465,111,296,24
576,387,1477,112,286,24
577,375,1489,112,276,24
578,370,1493,113,272,24
