,infected,recovered,fatalities,infected_known,susceptible,severity0,severity1,severity2
431,528,144,17,311,1311,253,284,127
432,526,147,17,309,1310,253,284,127
433,526,148,17,309,1309,253,284,127
434,523,150,18,306,1309,254,286,127
435,523,150,18,306,1309,254,286,127
436,522,151,18,305,1309,254,287,127
437,521,152,18,305,1309,251,290,127
438,522,152,18,305,1308,251,290,129
439,521,154,18,304,1307,254,291,129
440,519,157,18,309,1306,256,293,129
441,515,161,18,306,1306,257,293,129
442,514,163,18,305,1305,258,293,129
443,515,165,18,303,1302,259,294,129
444,513,168,19,299,1300,260,295,129
445,510,169,22,295,1299,261,294,130
446,510,170,22,295,1298,261,295,130
447,508,172,23,292,1297,260,298,130
448,510,172,23,292,1295,260,298,130
449,507,175,23,290,1295,259,299,130
450,503,179,23,295,1295,259,299,130
451,503,181,23,293,1293,259,299,130
452,502,183,23,292,1292,260,299,130
453,501,184,23,292,1292,260,300,130
454,498,187,23,289,1292,260,300,130
455,497,188,24,287,1291,260,300,130
456,495,190,24,286,1291,260,300,130
457,492,192,25,284,1291,259,300,131
458,491,195,25,282,1289,259,301,131
459,489,197,25,280,1289,258,303,131
460,487,200,25,288,1288,257,305,131
461,485,201,26,286,1288,256,306,131
462,483,203,26,284,1288,256,307,131
463,481,205,26,283,1288,255,311,131
464,482,205,26,283,1287,254,314,131
465,480,206,28,280,1286,255,314,131
466,480,209,28,279,1283,256,313,132
467,478,213,29,276,1280,255,314,133
468,480,214,29,275,1277,257,314,133
469,480,216,29,274,1275,257,314,133
470,479,218,29,282,1274,257,314,133
471,474,223,29,282,1274,259,314,133
472,475,223,29,282,1273,260,314,133
473,473,225,29,281,1273,260,314,133
474,474,226,29,280,1271,260,314,133
475,473,227,29,280,1271,261,314,133
476,471,228,31,277,1270,260,314,134
477,472,228,32,276,1268,260,314,134
478,470,230,32,274,1268,262,314,134
479,468,234,32,270,1266,261,313,136
480,466,238,33,271,1263,260,315,136
481,466,239,33,270,1262,259,316,136
482,465,240,33,269,1262,259,316,136
483,460,245,33,264,1262,259,316,136
484,458,247,33,262,1262,259,317,136
485,457,249,33,260,1261,260,316,137
486,454,251,34,257,1261,262,317,137
487,452,253,34,256,1261,265,317,137
488,455,255,35,254,1255,267,318,137
489,456,256,35,253,1253,267,320,137
490,456,257,35,258,1252,266,322,137
491,454,259,36,256,1251,266,321,138
492,452,261,36,255,1251,266,322,138
493,451,261,37,254,1251,265,323,138
494,449,264,37,251,1250,265,325,138
495,450,265,37,250,1248,264,325,139
496,448,267,37,248,1248,265,324,140
497,445,270,37,245,1248,265,326,140
498,440,273,39,242,1248,265,326,140
499,437,277,39,239,1247,267,326,140
500,436,277,40,245,1247,270,326,140
501,437,277,40,245,1246,271,326,140
502,433,281,40,242,1246,271,326,140
503,430,284,40,239,1246,270,327,140
504,432,284,40,239,1244,270,327,140
505,431,285,40,238,1244,271,327,140
506,429,287,40,236,1244,271,327,140
507,427,290,41,232,1242,271,325,142
508,426,292,41,231,1241,276,326,142
509,427,293,41,230,1239,278,326,142
510,427,295,41,238,1237,278,326,143
511,428,296,41,238,1235,279,326,143
512,426,299,41,236,1234,279,326,143
513,424,301,41,236,1234,279,325,144
514,422,304,41,234,1233,278,327,144
515,421,305,41,233,1233,279,328,144
516,421,306,41,232,1232,279,328,144
517,422,307,41,232,1230,278,328,145
518,421,308,42,230,1229,277,329,145
519,419,310,42,229,1229,278,329,145
520,420,311,42,231,1227,278,329,145
521,418,313,42,229,1227,277,331,145
522,415,317,42,225,1226,276,332,145
523,414,319,42,223,1225,276,331,146
524,413,320,42,223,1225,278,331,146
525,412,321,42,223,1225,277,332,146
526,411,324,42,220,1223,277,332,146
527,410,325,42,220,1223,279,331,147
528,407,328,42,217,1223,278,333,147
529,405,331,42,216,1222,280,332,148
530,406,331,42,223,1221,281,333,148
531,404,333,42,221,1221,283,332,149
532,401,336,42,219,1221,284,332,149
533,399,338,42,217,1221,284,329,152
534,397,340,43,215,1220,284,330,152
535,397,340,43,215,1220,283,331,152
536,397,342,43,213,1218,282,333,152
537,397,342,43,213,1218,281,336,152
538,395,345,43,211,1217,280,338,152
539,397,345,43,211,1215,278,340,152
540,396,346,43,222,1215,279,341,152
541,395,347,43,221,1215,279,341,152
